ID_ESCOLA,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LATITUDE,LONGITUDE
121,ESCOLA MUNICIPAL DILERMANDO CRUZ,RAMOS,AVENIDA TEIXEIRA DE CASTRO 407,-22.85387,-43.25245
161,ESCOLA MUNICIPAL JOAO DE DEUS,PENHA CIRCULAR,PRACA ALMEIDA GARRET SEM NUMERO,-22.82995,-43.28211
263,ESCOLA MUNICIPAL PADRE MANUEL DE NOBREGA,VIGARIO GERAL,PRACA ELBA 1215,-22.85714,-43.26416
118,CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,BONSUCESSO,RUA PRINCIPAL SEM NUMERO,-22.85783,-43.24045
140,ESCOLA MUNICIPAL PEDRO LESSA,BONSUCESSO,RUA ADAIL 49,-22.86047,-43.25428
260,ESCOLA MUNICIPAL PROFESSOR JOSUE DE CASTRO,BONSUCESSO,AVENIDA BRASIL 4040 RUA DA VITORIA,-22.87374,-43.24071
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,-22.87608,-43.34337
090,ESCOLA MUNICIPAL THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JUNIOR SEM NUMERO,-22.81631,-43.34015
274,ESCOLA MUNICIPAL ABEILARD FEIJO,CACUIA,ESTRADA DA CACUIA 1386,-22.80769,-43.18156
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,JARDIM GUANABARA,RUA SERENATA 40,-22.81244,-43.20966
390,ESCOLA MUNICIPAL ANDREA FONTES PEIXOTO,PARQUE COLUMBIA,RUA FAUSTO E CASTRO SEM NUMERO,-22.81631,-43.34015
608,ESCOLA MUNICIPAL GRANDJEAN DE MONTIGNY,PAVUNA,PRACA DOS UCRANIANOS SEM NUMERO,-22.81389,-43.37393
589,ESCOLA MUNICIPAL MARIO PIRAGIBE,ANCHIETA,PRACA NOSSA SENHORA DAS DORES SEM NUMERO,-22.82558,-43.39208
256,ESCOLA MUNICIPAL PARAIBA,ANCHIETA,ESTRADA MARECHAL ALENCASTRO 4.035,-22.82636,-43.40288
091,ESCOLA MUNICIPAL PIAUI,GUADALUPE,AVENIDA BRASIL 23.364,-22.84541,-43.37852
090,ESCOLA MUNICIPAL THOMAS JEFFERSON,ACARI,AVENIDA PASTOR MARTIN LUTHER KING JUNIOR SEM NUMERO,-22.81631,-43.34015
248,ESCOLA MUNICIPAL ASPIRANTE CARLOS ALFREDO,TURIACU,RUA IBIA 105,-22.86085,-43.34455
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,-22.87608,-43.34337
623,ESCOLA MUNICIPAL CECILIA MEIRELES,VILA KOSMOS,RUA SOLDADO SERVINO MENGARDA 260,-22.84944,-43.30379
603,ESCOLA MUNICIPAL ESPIRITO SANTO,CAVALCANTI,RUA HERCULANO PENA SEM NUMERO,-22.87430,-43.31472
673,ESCOLA MUNICIPAL GRECIA,VILA DA PENHA,AVENIDA BRAZ DE PINA 1614,-22.83783,-43.31254
089,ESCOLA MUNICIPAL MARIO CLAUDIO,RIO COMPRIDO,RUA HADDOCK LOBO 148,-22.91723,-43.21104
520,ESCOLA MUNICIPAL BARONESA DE SAAVEDRA,REALENGO,RUA MARECHAL BIBIANO COSTALAT 483-639,-22.87185,-43.43243
412,ESCOLA MUNICIPAL MOZART LAGO,OSWALDO CRUZ,RUA JOSE CARVALHO SALGADO SEM NUMERO,-22.87221,-43.35033
031,ESCOLA MUNICIPAL PARA,ROCHA MIRANDA,AVENIDA DOS ITALIANOS 500,-22.85196,-43.34949
514,ESCOLA MUNICIPAL PARANA,CASCADURA,AVENIDA ERNANI CARDOSO 316,-22.88241,-43.33811
